Name,Gender,Age,Nationality,Years_Active,Genre_Niche,Beauty_Level,Skills,Education,Award_Wins,Media_Mentions,Social_Media_Followers,Social_Media_Likes,Network_Size,MBTI_Personality,Income_Per_Year
Olivia Smith,Female,27,Canadian,6,Fashion & Lifestyle,7,"Styling, Fashion Design, Blogging",Bachelor's Degree in Fashion Merchandising,2,400,850000,45000,4,ENFP,"$180,000"
Daniel Kim,Male,31,Korean,8,Music,9,"Songwriting, Singing, Guitar",Bachelor's Degree in Music Production,3,550,1200000,70000,5,INFP,"$250,000"
Maya Gupta,Female,29,Indian,7,Fitness & Wellness,8,"Yoga, Nutrition, Personal Training",Master's Degree in Sports Science,4,600,900000,55000,5,ISFJ,"$200,000"
Ethan Walker,Male,35,Australian,9,Photography & Travel,7,"Photography, Videography, Drone Operation",Self-Taught,5,700,1500000,80000,6,ISTJ,"$300,000"
Lily Chen,Female,26,Chinese,4,Beauty & Fashion,9,"Makeup Artistry, Fashion Styling, Content Creation",Bachelor's Degree in Fashion Design,2,350,750000,40000,4,ESFP,"$150,000"
Marcus Johnson,Male,33,American,5,Comedy,6,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,2,300,700000,35000,4,ESTJ,"$150,000"
Sophia Lee,Female,30,British,6,Food & Cooking,8,"Culinary Skills, Recipe Development, Food Styling",Culinary School,3,450,1000000,60000,5,ESFJ,"$220,000"
David Santos,Male,29,Brazilian,7,Travel & Adventure,7,"Travel Photography, Blogging, Adventure Sports",Bachelor's Degree in Tourism,2,400,800000,40000,4,ENTP,"$180,000"
Amelia Wright,Female,32,American,8,Parenting & Family,6,"Parenting Tips, Child Psychology, Family Vlogging",Bachelor's Degree in Early Childhood Education,3,500,1100000,65000,5,INFJ,"$230,000"
Oscar Martinez,Male,36,Spanish,9,Fashion & Lifestyle,8,"Fashion Styling, Modeling, Fashion Photography",Bachelor's Degree in Fashion Design,4,600,1200000,70000,5,ENTJ,"$280,000"
Grace Nguyen,Female,28,Vietnamese,5,Beauty & Makeup,9,"Makeup Artistry, Skincare, Beauty Blogging",Bachelor's Degree in Cosmetology,3,450,900000,50000,4,ISTP,"$180,000"
Nathan Brown,Male,34,British,7,Technology,8,"Programming, Web Development, Artificial Intelligence",Master's Degree in Computer Science,3,550,1300000,75000,5,ENTP,"$280,000"
Ella Rodriguez,Female,31,Mexican,6,Lifestyle & Wellness,7,"Yoga, Meditation, Holistic Health",Bachelor's Degree in Psychology,2,400,850000,45000,4,INFP,"$200,000"
Dylan Park,Male,25,Korean,4,Gaming & Esports,9,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,1,200,500000,25000,3,INTJ,"$120,000"
Isabel Silva,Female,30,Portuguese,8,Fashion & Beauty,9,"Fashion Design, Makeup Artistry, Beauty Vlogging",Master's Degree in Fashion Marketing,4,600,1100000,60000,5,ESTJ,"$250,000"
Lucas Oliveira,Male,37,Brazilian,10,Music,8,"Music Production, Songwriting, Singing",Bachelor's Degree in Music,5,700,1400000,80000,6,ISFP,"$320,000"
Clara Wang,Female,29,Chinese,6,Fitness & Nutrition,8,"Personal Training, Nutrition Coaching, Fitness Modeling",Bachelor's Degree in Nutrition,3,450,950000,50000,4,ENTJ,"$220,000"
Leo Kim,Male,32,Korean,8,Fashion & Lifestyle,7,"Fashion Styling, Photography, Fashion Blogging",Bachelor's Degree in Fashion Design,3,500,1100000,65000,5,INTP,"$250,000"
Aria Patel,Female,27,Indian,5,Food & Cooking,7,"Cooking, Recipe Development, Food Blogging",Culinary School,2,300,700000,35000,4,ISFP,"$150,000"
Maxwell Jones,Male,30,American,6,Travel & Adventure,8,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Journalism,2,400,900000,45000,5,ENFP,"$200,000"
Sophie Williams,Female,28,British,6,Fashion & Beauty,8,"Fashion Styling, Makeup Artistry, Fashion Blogging",Bachelor's Degree in Fashion Design,3,450,950000,50000,4,ISFJ,"$180,000"
Michael Chang,Male,33,American,7,Technology,9,"Software Engineering, Artificial Intelligence, Data Science",Master's Degree in Computer Science,4,600,1200000,70000,5,INTJ,"$250,000"
Emily Garcia,Female,30,Mexican,8,Lifestyle & Wellness,7,"Yoga, Meditation, Holistic Health",Bachelor's Degree in Psychology,3,500,1000000,60000,5,INFJ,"$220,000"
William Brown,Male,35,British,9,Food & Cooking,8,"Culinary Skills, Recipe Development, Food Styling",Culinary School,4,550,1100000,65000,5,ESTJ,"$280,000"
Sofia Santos,Female,29,Brazilian,6,Travel & Adventure,7,"Travel Photography, Blogging, Adventure Sports",Bachelor's Degree in Tourism,2,400,850000,45000,4,ENTP,"$200,000"
Liam Patel,Male,28,Indian,5,Gaming & Esports,9,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,2,300,700000,35000,4,ISFP,"$150,000"
Emma Smith,Female,31,Canadian,7,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3,500,1000000,60000,5,ENFP,"$230,000"
Noah Lee,Male,30,Korean,8,Fashion & Lifestyle,7,"Fashion Styling, Fashion Photography, Fashion Blogging",Bachelor's Degree in Fashion Design,3,500,1100000,65000,5,INTP,"$250,000"
Mia Fernandez,Female,26,Spanish,5,Beauty & Makeup,9,"Makeup Artistry, Skincare, Beauty Vlogging",Bachelor's Degree in Cosmetology,2,350,800000,40000,4,ESFP,"$150,000"
Elijah Nguyen,Male,32,Vietnamese,9,Photography & Travel,8,"Photography, Videography, Travel Writing",Self-Taught,4,600,1300000,75000,5,ISTJ,"$300,000"
Avery Martinez,Female,33,American,8,Comedy,7,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3,450,950000,50000,4,ENTJ,"$220,000"
Gabriel Kim,Male,29,Korean,6,Fitness & Nutrition,8,"Personal Training, Nutrition Coaching, Fitness Modeling",Bachelor's Degree in Nutrition,2,400,900000,45000,4,INFP,"$200,000"
Sophia Chen,Female,27,Chinese,5,Fashion & Lifestyle,7,"Fashion Design, Modeling, Fashion Blogging",Bachelor's Degree in Fashion Design,2,350,800000,40000,4,ESFJ,"$150,000"
Ethan Rodriguez,Male,35,Mexican,10,Technology,9,"Programming, Web Development, Cybersecurity",Master's Degree in Computer Engineering,5,700,1400000,80000,6,INTJ,"$350,000"
Olivia Wang,Female,28,Chinese,6,Gaming & Esports,8,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,2,300,750000,35000,4,ISFP,"$180,000"
Ethan Smith,Male,34,American,8,Fashion & Beauty,7,"Fashion Styling, Makeup Artistry, Fashion Photography",Bachelor's Degree in Fashion Design,3,500,1000000,60000,5,ENTJ,"$250,000"
Luna Martinez,Female,29,Spanish,6,Food & Cooking,8,"Culinary Skills, Recipe Development, Food Blogging",Culinary School,3,450,950000,50000,4,ENFJ,"$220,000"
Matthew Kim,Male,32,Korean,7,Travel & Adventure,7,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Journalism,2,400,850000,45000,4,INTP,"$200,000"
Sofia Lopez,Female,30,Mexican,8,Parenting & Family,7,"Parenting Tips, Child Psychology, Family Vlogging",Bachelor's Degree in Early Childhood Education,3,500,1100000,65000,5,ISFJ,"$230,000"
James Nguyen,Male,28,Vietnamese,5,Lifestyle & Wellness,8,"Yoga, Meditation, Holistic Health",Bachelor's Degree in Psychology,2,400,850000,45000,4,ISTP,"$180,000"
Chloe Garcia,Female,31,American,7,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3,500,1000000,60000,5,ENTP,"$230,000"
Logan Smith,Male,30,Canadian,6,Technology,9,"Software Engineering, Data Science, Artificial Intelligence",Master's Degree in Computer Science,4,600,1200000,70000,5,INTJ,"$250,000"
Ella Kim,Female,29,Korean,6,Beauty & Makeup,8,"Makeup Artistry, Skincare, Beauty Blogging",Bachelor's Degree in Cosmetology,2,350,800000,40000,4,ENFP,"$150,000"
Lucas Hernandez,Male,34,Spanish,8,Comedy,7,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3,450,950000,50000,4,ESTJ,"$220,000"
Ava Lee,Female,28,Chinese,6,Fashion & Lifestyle,7,"Fashion Styling, Fashion Photography, Fashion Blogging",Bachelor's Degree in Fashion Design,3,500,1100000,65000,5,INFJ,"$250,000"
Noah Rodriguez,Male,33,Mexican,7,Fitness & Nutrition,8,"Personal Training, Nutrition Coaching, Fitness Modeling",Bachelor's Degree in Nutrition,2,400,900000,45000,4,ISTP,"$200,000"
Olivia Lopez,Female,27,Spanish,5,Fashion & Beauty,8,"Fashion Design, Makeup Artistry, Fashion Blogging",Bachelor's Degree in Fashion Design,2,350,800000,40000,4,ENFJ,"$150,000"
Ethan Chen,Male,34,Chinese,8,Photography & Travel,7,"Photography, Videography, Travel Writing",Bachelor's Degree in Tourism,3,500,1100000,65000,5,INTP,"$250,000"
Sophia Rodriguez,Female,31,Mexican,6,Gaming & Esports,8,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,2,300,750000,35000,4,ISFP,"$180,000"
Ethan Martinez,Male,29,American,6,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3,500,1000000,60000,5,ENTJ,"$230,000"
Ava Nguyen,Female,32,Vietnamese,7,Travel & Adventure,7,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Journalism,2,400,850000,45000,4,INFP,"$200,000"
Matthew Lee,Male,30,Korean,8,Technology,9,"Software Engineering, Data Science, Machine Learning",Master's Degree in Computer Science,4,600,1200000,70000,5,INTJ,"$250,000"
Sophie Martinez,Female,29,Spanish,6,Food & Cooking,8,"Culinary Skills, Recipe Development, Food Styling",Culinary School,3,450,950000,50000,4,ENFP,"$220,000"
Logan Kim,Male,32,Korean,7,Parenting & Family,7,"Parenting Tips, Child Psychology, Family Vlogging",Bachelor's Degree in Early Childhood Education,3,500,1100000,65000,5,ISTJ,"$250,000"
Chloe Lopez,Female,28,Mexican,6,Lifestyle & Wellness,7,"Yoga, Meditation, Holistic Health",Bachelor's Degree in Psychology,2,400,850000,45000,4,ESFP,"$180,000"
Lucas Kim,Male,35,Korean,9,Comedy,8,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3,450,950000,50000,4,ESTP,"$220,000"
Ava Hernandez,Female,26,Spanish,5,Fitness & Nutrition,8,"Personal Training, Nutrition Coaching, Fitness Modeling",Bachelor's Degree in Nutrition,2,400,900000,45000,4,ISFJ,"$200,000"
Noah Lee,Male,33,American,8,Fashion & Beauty,7,"Fashion Styling, Makeup Artistry, Fashion Photography",Bachelor's Degree in Fashion Design,3,500,1000000,60000,5,ENTP,"$250,000"
Sophia Rodriguez,Female,30,Mexican,7,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3,500,1000000,60000,5,INFP,"$230,000"
Matthew Kim,Male,28,Korean,6,Travel & Adventure,7,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Tourism,2,400,850000,45000,4,INTJ,"$200,000"
Chloe Martinez,Female,31,American,7,Technology,8,"Software Engineering, Data Science, Cybersecurity",Master's Degree in Computer Science,3,550,1200000,70000,5,ENFJ,"$280,000"
Logan Nguyen,Male,29,Vietnamese,6,Gaming & Esports,8,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,2,300,750000,35000,4,ISTP,"$180,000"
Ava Garcia,Female,27,Spanish,5,Beauty & Makeup,8,"Makeup Artistry, Skincare, Beauty Blogging",Bachelor's Degree in Cosmetology,2,350,800000,40000,4,ESFJ,"$150,000"
Noah Lee,Male,34,Korean,8,Comedy,7,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3,450,950000,50000,4,ENTJ,"$220,000"
Sophia Kim,Female,29,Korean,6,Food & Cooking,8,"Culinary Skills, Recipe Development, Food Styling",Culinary School,3,450,950000,50000,4,INFJ,"$220,000"
Matthew Rodriguez,Male,31,Mexican,7,Travel & Adventure,7,"Travel Photography, Blogging, Adventure Sports",Bachelor's Degree in Tourism,2,400,850000,45000,4,INTP,"$200,000"
Chloe Martinez,Female,28,American,6,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3,500,1000000,60000,5,ENFP,"$230,000"
Logan Hernandez,Male,35,Spanish,8,Fashion & Beauty,7,"Fashion Styling, Makeup Artistry, Fashion Blogging",Bachelor's Degree in Fashion Design,3,500,1000000,60000,5,ISTJ,"$250,000"
Ava Kim,Female,30,Korean,7,Technology,8,"Software Engineering, Data Science, Artificial Intelligence",Master's Degree in Computer Science,3,550,1200000,70000,5,ESFP,"$280,000"
Noah Lee,Male,26,Korean,5,Fitness & Nutrition,8,"Personal Training, Nutrition Coaching, Fitness Modeling",Bachelor's Degree in Nutrition,2,400,900000,45000,4,INTJ,"$200,000"
Sophia Rodriguez,Female,32,Mexican,7,Comedy,7,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3,450,950000,50000,4,ENFJ,"$220,000"
Matthew Kim,Male,29,American,6,Food & Cooking,8,"Culinary Skills, Recipe Development, Food Styling",Culinary School,3,450,950000,50000,4,INFJ,"$220,000"
Chloe Garcia,Female,26,Mexican,5,Travel & Adventure,8,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Journalism,2,400,850000,45000,4,ISTP,"$180,000"
Logan Lee,Male,33,Korean,8,Gaming & Esports,7,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,3,500,1000000,60000,5,ESTJ,"$250,000"
Ava Rodriguez,Female,29,Mexican,6,Lifestyle & Wellness,7,"Yoga, Meditation, Holistic Health",Bachelor's Degree in Psychology,2,400,900000,45000,4,ENFP,"$200,000"
Noah Kim,Male,30,Korean,7,Beauty & Makeup,8,"Makeup Artistry, Skincare, Beauty Blogging",Bachelor's Degree in Cosmetology,3,450,950000,50000,4,INTJ,"$220,000"
Sophia Nguyen,Female,27,Vietnamese,5,Fashion & Lifestyle,8,"Fashion Design, Modeling, Fashion Blogging",Bachelor's Degree in Fashion Design,2,400,900000,45000,4,ESFJ,"$150,000"
Matthew Smith,Male,34,American,8,Photography & Travel,7,"Photography, Videography, Travel Writing",Bachelor's Degree in Tourism,3,500,1100000,65000,5,ISTJ,"$250,000"
Chloe Martinez,Female,31,Mexican,7,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3,500,1000000,60000,5,ENTP,"$230,000"
Logan Kim,Male,28,Korean,6,Travel & Adventure,7,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Tourism,2,400,850000,45000,4,INTP,"$200,000"
Ava Hernandez,Female,30,Spanish,7,Technology,8,"Software Engineering, Data Science, Artificial Intelligence",Master's Degree in Computer Science,3,550,1200000,70000,5,ESFP,"$280,000"
Noah Lee,Male,29,Korean,6,Gaming & Esports,7,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,2,300,750000,35000,4,ISTP,"$180,000"
Sophia Rodriguez,Female,32,Mexican,7,Comedy,7,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3,450,950000,50000,4,ENFJ,"$220,000"
Matthew Kim,Male,30,American,6,Food & Cooking,8,"Culinary Skills, Recipe Development, Food Styling",Culinary School,3,450,950000,50000,4,INFJ,"$220,000"
Chloe Garcia,Female,27,Mexican,5,Travel & Adventure,8,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Journalism,2,400,850000,45000,4,ISTP,"$180,000"
Logan Lee,Male,34,Korean,8,Gaming & Esports,7,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,3,500,1000000,60000,5,ESTJ,"$250,000"
Sophia Hernandez,Female,28,Spanish,6,Fashion & Beauty,8,"Fashion Styling, Makeup Artistry, Fashion Blogging",Bachelor's Degree in Fashion Design,3,450,950000,50000,4,ISFJ,"$180,000"
Michael Smith,Male,33,American,7,Technology,9,"Software Engineering, Artificial Intelligence, Data Science",Master's Degree in Computer Science,4,600,1200000,70000,5,INTJ,"$250,000"
Emily Kim,Female,30,Korean,8,Lifestyle & Wellness,7,"Yoga, Meditation, Holistic Health",Bachelor's Degree in Psychology,3,500,1000000,60000,5,INFJ,"$220,000"
William Nguyen,Male,35,Vietnamese,9,Food & Cooking,8,"Culinary Skills, Recipe Development, Food Styling",Culinary School,4,550,1100000,65000,5,ESTJ,"$280,000"
Sofia Garcia,Female,29,Mexican,6,Travel & Adventure,7,"Travel Photography, Blogging, Adventure Sports",Bachelor's Degree in Tourism,2,400,850000,45000,4,ENTP,"$200,000"
Liam Lee,Male,28,Korean,5,Gaming & Esports,9,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,2,300,700000,35000,4,ISFP,"$150,000"
Emma Hernandez,Female,31,Spanish,7,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3,500,1000000,60000,5,ENFP,"$230,000"
Noah Kim,Male,30,Korean,8,Fashion & Lifestyle,7,"Fashion Styling, Fashion Photography, Fashion Blogging",Bachelor's Degree in Fashion Design,3,500,1100000,65000,5,INTP,"$250,000"
Mia Martinez,Female,26,Spanish,5,Beauty & Makeup,9,"Makeup Artistry, Skincare, Beauty Vlogging",Bachelor's Degree in Cosmetology,2,350,800000,40000,4,ESFP,"$150,000"
Elijah Nguyen,Male,32,Vietnamese,9,Photography & Travel,8,"Photography, Videography, Travel Writing",Self-Taught,4,600,1300000,75000,5,ISTJ,"$300,000"
Avery Garcia,Female,33,American,8,Comedy,7,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3,450,950000,50000,4,ENTJ,"$220,000"
Gabriel Kim,Male,29,Korean,6,Fitness & Nutrition,8,"Personal Training, Nutrition Coaching, Fitness Modeling",Bachelor's Degree in Nutrition,2,400,900000,45000,4,INFP,"$200,000"
Sophia Chen,Female,27,Chinese,5,Fashion & Lifestyle,7,"Fashion Design, Modeling, Fashion Blogging",Bachelor's Degree in Fashion Design,2,350,800000,40000,4,ESFJ,"$150,000"
Ethan Rodriguez,Male,35,Mexican,10,Technology,9,"Programming, Web Development, Cybersecurity",Master's Degree in Computer Engineering,5,700,1400000,80000,6,INTJ,"$350,000"
Olivia Wang,Female,28,Chinese,6,Gaming & Esports,8,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,2,300,750000,35000,4,ISFP,"$180,000"
Ethan Smith,Male,34,American,8,Fashion & Beauty,7,"Fashion Styling, Makeup Artistry, Fashion Photography",Bachelor's Degree in Fashion Design,3,500,1000000,60000,5,ENTJ,"$250,000"
Luna Martinez,Female,29,Spanish,6,Food & Cooking,8,"Culinary Skills, Recipe Development, Food Blogging",Culinary School,3,450,950000,50000,4,ENFJ,"$220,000"
Matthew Kim,Male,32,Korean,7,Travel & Adventure,7,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Journalism,2,400,850000,45000,4,INTP,"$200,000"
Sofia Lopez,Female,30,Mexican,8,Parenting & Family,7,"Parenting Tips, Child Psychology, Family Vlogging",Bachelor's Degree in Early Childhood Education,3,500,1100000,65000,5,ISFJ,"$230,000"
James Nguyen,Male,28,Vietnamese,5,Lifestyle & Wellness,8,"Yoga, Meditation, Holistic Health",Bachelor's Degree in Psychology,2,400,850000,45000,4,ISTP,"$180,000"
Chloe Garcia,Female,31,American,7,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3,500,1000000,60000,5,ENTP,"$230,000"
Logan Smith,Male,30,Canadian,6,Technology,9,"Software Engineering, Data Science, Artificial Intelligence",Master's Degree in Computer Science,4,600,1200000,70000,5,INTJ,"$250,000"
Ella Kim,Female,29,Korean,6,Beauty & Makeup,8,"Makeup Artistry, Skincare, Beauty Blogging",Bachelor's Degree in Cosmetology,2,350,800000,40000,4,ENFP,"$150,000"
Lucas Hernandez,Male,34,Spanish,8,Comedy,7,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3,450,950000,50000,4,ESTJ,"$220,000"
Ava Lee,Female,28,Chinese,6,Fashion & Lifestyle,7,"Fashion Styling, Fashion Photography, Fashion Blogging",Bachelor's Degree in Fashion Design,3,500,1100000,65000,5,INFJ,"$250,000"
Noah Rodriguez,Male,33,Mexican,7,Fitness & Nutrition,8,"Personal Training, Nutrition Coaching, Fitness Modeling",Bachelor's Degree in Nutrition,2,400,900000,45000,4,ISTP,"$200,000"
Olivia Lopez,Female,27,Spanish,5,Fashion & Beauty,8,"Fashion Design, Makeup Artistry, Fashion Blogging",Bachelor's Degree in Fashion Design,2,350,800000,40000,4,ENFJ,"$150,000"
Ethan Chen,Male,34,Chinese,8,Photography & Travel,7,"Photography, Videography, Travel Writing",Bachelor's Degree in Tourism,3,500,1100000,65000,5,INTP,"$250,000"
Sophia Rodriguez,Female,31,Mexican,6,Gaming & Esports,8,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,2,300,750000,35000,4,ISFP,"$180,000"
Ethan Martinez,Male,29,American,6,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3,500,1000000,60000,5,ENTJ,"$230,000"
Ava Nguyen,Female,32,Vietnamese,7,Travel & Adventure,7,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Journalism,2,400,850000,45000,4,INFP,"$200,000"
Matthew Lee,Male,30,Korean,8,Technology,9,"Software Engineering, Data Science, Machine Learning",Master's Degree in Computer Science,4,600,1200000,70000,5,INTJ,"$250,000"
Sophie Martinez,Female,29,Spanish,6,Food & Cooking,8,"Culinary Skills, Recipe Development, Food Styling",Culinary School,3,450,950000,50000,4,ENFP,"$220,000"
Logan Kim,Male,32,Korean,7,Parenting & Family,7,"Parenting Tips, Child Psychology, Family Vlogging",Bachelor's Degree in Early Childhood Education,3,500,1100000,65000,5,ISTJ,"$250,000"
Chloe Lopez,Female,28,Mexican,6,Lifestyle & Wellness,7,"Yoga, Meditation, Holistic Health",Bachelor's Degree in Psychology,2,400,850000,45000,4,ESFP,"$180,000"
Lucas Kim,Male,35,Korean,9,Comedy,8,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3,450,950000,50000,4,ESTP,"$220,000"
Ava Hernandez,Female,26,Spanish,5,Fitness & Nutrition,8,"Personal Training, Nutrition Coaching, Fitness Modeling",Bachelor's Degree in Nutrition,2,400,900000,45000,4,ISFJ,"$200,000"
Noah Lee,Male,33,American,8,Fashion & Beauty,7,"Fashion Styling, Makeup Artistry, Fashion Photography",Bachelor's Degree in Fashion Design,3,500,1000000,60000,5,ENTP,"$250,000"
Sophia Rodriguez,Female,30,Mexican,7,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3,500,1000000,60000,5,INFP,"$230,000"
Matthew Kim,Male,28,Korean,6,Travel & Adventure,7,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Tourism,2,400,850000,45000,4,INTJ,"$200,000"
Chloe Martinez,Female,31,American,7,Technology,8,"Software Engineering, Data Science, Cybersecurity",Master's Degree in Computer Science,3,550,1200000,70000,5,ENFJ,"$280,000"
Logan Nguyen,Male,29,Vietnamese,6,Gaming & Esports,8,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,2,300,750000,35000,4,ISTP,"$180,000"
Ava Garcia,Female,27,Spanish,5,Beauty & Makeup,8,"Makeup Artistry, Skincare, Beauty Blogging",Bachelor's Degree in Cosmetology,2,350,800000,40000,4,ESFJ,"$150,000"
Noah Lee,Male,34,Korean,8,Comedy,7,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3,450,950000,50000,4,ENTJ,"$220,000"
Sophia Kim,Female,29,Korean,6,Food & Cooking,8,"Culinary Skills, Recipe Development, Food Styling",Culinary School,3,450,950000,50000,4,INFJ,"$220,000"
Matthew Rodriguez,Male,31,Mexican,7,Travel & Adventure,7,"Travel Photography, Blogging, Adventure Sports",Bachelor's Degree in Tourism,2,400,850000,45000,4,INTP,"$200,000"
Chloe Martinez,Female,28,American,6,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3,500,1000000,60000,5,ENFP,"$230,000"
Logan Hernandez,Male,35,Spanish,8,Fashion & Beauty,7,"Fashion Styling, Makeup Artistry, Fashion Blogging",Bachelor's Degree in Fashion Design,3,500,1000000,60000,5,ISTJ,"$250,000"
Ava Kim,Female,30,Korean,7,Technology,8,"Software Engineering, Data Science, Artificial Intelligence",Master's Degree in Computer Science,3,550,1200000,70000,5,ESFP,"$280,000"
Noah Lee,Male,29,Korean,6,Gaming & Esports,7,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,2,300,750000,35000,4,ISTP,"$180,000"
Sophia Rodriguez,Female,32,Mexican,7,Comedy,7,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3,450,950000,50000,4,ENFJ,"$220,000"
Matthew Kim,Male,30,American,6,Food & Cooking,8,"Culinary Skills, Recipe Development, Food Styling",Culinary School,3,450,950000,50000,4,INFJ,"$220,000"
Chloe Garcia,Female,27,Mexican,5,Travel & Adventure,8,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Journalism,2,400,850000,45000,4,ISTP,"$180,000"
Logan Lee,Male,33,Korean,8,Gaming & Esports,7,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,3,500,1000000,60000,5,ESTJ,"$250,000"
Isabella Martinez,Female,28,Spanish,6,Fashion & Beauty,8,"Fashion Styling, Makeup Artistry, Fashion Blogging",Bachelor's Degree in Fashion Design,3,450,950000,50000,4,ISFJ,"$180,000"
Nathan Johnson,Male,33,American,7,Technology,9,"Software Engineering, Artificial Intelligence, Data Science",Master's Degree in Computer Science,4,600,1200000,70000,5,INTJ,"$250,000"
